sample_date,sample_time,sampling_site,air_temperature,weather,wind_direction,wind_speed,barometeric_pressure,water_temperature,ph,dissolved_oxygen,conductivity,total_dissolved_solids,salt_ppt,aphanizomenon,dolichospermum,microcystis,planktothrix,raphidiopsis,woronichinia,general_comments,secchi
2021-07-15,12:00:00,Site #2 - Heritage Boat Launch,23.1,,,0-5,762,23.8,8.8,10.9,144,72,,,,,,,,,
2022-04-07,16:22:00,Site #2 - Heritage Boat Launch,22.2,Sunny,S,0-5,760,13,8,11.8,74,30,,No,No,No,No,No,,,
2026-09-17,8:30:00,Site #1 - East Boat Launch,13.9,Sunny,S,0-5,757.1,19.1,6.05,7,109.3,54.7,0.05,No,Yes,No,No,No,No,,
2023-04-11,12:00:00,Site #5 - Fallen Leaf Lake,,,,,,,,,,,,,,,,,,Multi meter not working,
2023-05-25,11:50:00,Site #4 - Round Lake,21.1,Sunny,N,0-5,754.7,21.4,8.7,9.5,110,55,,No,No,No,No,No,,,
2022-08-25,11:00:00,Site #4 - Round Lake,24.4,Sunny,N,0-5,762,25.91,8.9,7.2,138,69,,No,No,No,No,No,,Water appears clear.,
2022-08-31,12:40:00,Site #4 - Round Lake,25.6,Sunny,,0-5,762,25.1,9.17,6.7,136,68,,No,No,No,No,No,,Water green and murky,
2024-11-21,,Site #5 - Fallen Leaf Lake,,,,,,,,,,,,,,,,,,,
2025-03-13,,Site #5 - Fallen Leaf Lake,,,,,,,,,85,,,,,,,,,,
2026-09-10,8:40:00,Site #1 - East Boat Launch,16.1,Sunny,SW,0-5,757.9,20.7,5.9,7.5,110.3,55.2,0.05,No,Yes,No,No,No,No,,
2025-10-02,17:30:00,Site #3 - Lacamas Shores Boat Launch,17,Mostly Cloudy,S,0-5,757.6,20.6,8.6,8.7,164.4,84,0.07,Yes,Yes,No,No,No,No,Other cyanos. No Secchi/water low.,
2025-10-03,5:15:00,Site #4 - Round Lake,18.3,Partly Cloudy,No wind,0-5,760.9,18.3,7.8,5.7,137.5,69,0.07,No,Yes,Yes,Yes,No,Yes,Lake level is very low.  Open dam.,
2023-05-25,14:44:00,Site #5 - Fallen Leaf Lake,21.2,Sunny,NW,0-5,759,22,8.25,6.77,76,35,,No,No,No,No,No,,,
2025-10-02,12:06:00,Site #5 - Fallen Leaf Lake,18.7,Rain,No wind,0-5,764.2,18.7,7.66,5.6,93.2,46.6,0.04,No,No,No,No,No,No,Trawl had Dolico.,
2026-09-03,9:00:00,Site #1 - East Boat Launch,13.3,Rain,SW,0-5,752.7,20.3,5.76,7.2,109.6,54.8,0.05,No,Yes,No,No,No,No,,
2025-10-09,11:40:00,Site #2 - Heritage Boat Launch,15.6,Mostly Cloudy,No wind,0-5,760,16.8,7.4,6.3,141.2,70.6,0.06,Yes,Elevated,Yes,No,No,Elevated,Secchi 110 cm.  scum,
2025-10-09,16:30:00,Site #4 - Round Lake,17.2,Cloudy,No wind,0-5,760.1,16.6,7.2,6.2,119.6,60.6,0.05,Yes,Yes,No,No,No,Yes,Water level low.  No trawl.,
2025-10-09,12:10:00,Site #5 - Fallen Leaf Lake,16.6,Rain,No wind,0-5,760.3,17.6,7.63,6.9,93.5,46.7,0.04,Yes,Yes,No,No,No,No,"Water level low. Trawl had Dolichio, Ciliates & Dinoflags",
2026-08-27,8:30:00,Site #1 - East Boat Launch,18.3,Sunny,W,0-5,758.3,23.4,5.84,6.9,109.6,55,0.05,No,Yes,No,No,No,No,,
2025-10-16,14:20:00,Site #2 - Heritage Boat Launch,14.4,Cloudy,E,0-5,757,15.1,7.5,6.8,142,71,0.06,No,Elevated,No,No,No,No,"Secchi 120cm, diatoms and 7 other cyanobacteria",
2025-10-16,12:30:00,Site #5 - Fallen Leaf Lake,16.7,Cloudy,W,0-5,768.6,16.2,7.2,5.8,93,46.5,0.04,No,Elevated,No,No,No,No,"Trawl w/elevated diatoms, Cilares, Frag, diatoms",
2026-08-20,12:30:00,Site #1 - East Boat Launch,25.6,Sunny,W,0-5,755.2,25.2,6.69,8.7,106.4,53.4,0.05,No,Yes,No,No,No,No,,
2025-10-23,12:55:00,Site #2 - Heritage Boat Launch,17,Mostly Cloudy,E,0-5,761,14.4,7.5,7.3,140.6,70.4,0.06,Yes,Yes,Yes,No,No,No,"Secchi 150cm Scum  along edge, Cilates, Dinoflag",
2026-08-13,9:20:00,Site #1 - East Boat Launch,15,Cloudy,W,0-5,754.5,22.8,5.8,9,104.5,52.3,0.05,No,Yes,No,No,No,No,,
2023-06-01,14:54:00,Site #2 - Heritage Boat Launch,18.3,Sunny,NE,0-5,759,19.2,9.04,,96,48,,No,No,No,No,No,,,
2025-10-22,13:53:00,Site #4 - Round Lake,17.1,Cloudy,S,0-5,765.3,15.2,6.8,6.9,123.1,60.4,0.05,No,Elevated,No,No,No,No,Low level. Lots of scum. No trawl,
2025-10-22,12:30:00,Site #5 - Fallen Leaf Lake,17.2,Cloudy,No wind,0-5,765.8,15,7.8,6.9,92.2,46.8,0.04,No,No,No,No,No,No,Ciliates. Trawl with Dilico & Woroni + other cyanos,
2026-07-30,14:40:00,Site #1 - East Boat Launch,25.6,Sunny,W,5-10,758.7,25.8,8.22,9.4,103.4,51.7,0.05,No,No,Yes,No,No,No,"Eudonna, Flagillaria",
2023-01-12,14:00:00,Site #2 - Heritage Boat Launch,11.1,Cloudy,No wind,0-5,754,7.4,8.7,7.8,50,25,,No,No,No,No,No,,,
2025-10-30,14:00:00,Site #2 - Heritage Boat Launch,12.8,Mostly Cloudy,E,15-20,761,12.7,7.4,7.8,133.1,66.5,0.05,No,Elevated,No,No,No,No,"Secchi 125cm Eudorina, Ceratium, Coelastrum. Very gusty.",
2026-07-30,11:00:00,Site #4 - Round Lake,20.1,Sunny,W,0-5,718.9,20,6.4,6.8,84,59.4,0.06,No,Yes,No,No,No,No,Water level high. Ciliates noted.,
2026-08-28,11:00:00,Site #4 - Round Lake,28.6,Sunny,S,0-5,759,24.2,8.5,7.2,124.8,64.6,0.06,No,No,No,No,No,No,Water clear and no microbes,
2026-08-27,12:16:00,Site #5 - Fallen Leaf Lake,26.3,Sunny,NW,0-5,764.7,24.7,7.9,8.3,89.1,44.6,0.05,No,Yes,No,No,No,No,"Trawl Dolico, Micro & Zoop",
2026-09-03,11:10:00,Site #2 - Heritage Boat Launch,18.6,Partly Cloudy,N,0-5,754,20.9,7.6,6,130,65.1,0.06,Yes,Yes,No,No,No,No,Aph & Doli elevated,
